ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
cjusebokyxvxt0764vb25txow,cjuse5orltnha0bqp49vqi1cy,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuse1hhrya3h0842z88iuqzs%2F1d532b44-a28f-cc47-260d-a243090c0a95-002386.png,Skip,catsbydecub262@gmail.com,sosense4,1555939701000,1555939701000,1.318,002386.png,,,,,clv_3,[],https://image-segmentation-v4.labelbox.com?project=cjuse1nxpyad20842kjexqca6&label=cjusebokyxvxt0764vb25txow
cjusebps3jzql0882kezp5r81,cjuse5ormtnhe0bqp3dtsazny,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuse1hhrya3h0842z88iuqzs%2F1d7021de-3653-301c-90e5-52fa1c527c98-002387.png,Skip,catsbydecub262@gmail.com,sosense4,1555939702000,1555939702000,1.215,002387.png,,,,,clv_3,[],https://image-segmentation-v4.labelbox.com?project=cjuse1nxpyad20842kjexqca6&label=cjusebps3jzql0882kezp5r81
cjusebriiytrc0878d6hs01zd,cjuse5ormtnhi0bqpzyqbdahf,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuse1hhrya3h0842z88iuqzs%2F5c8ff4a1-4b3e-add6-04da-9541624fc085-002388.png,Skip,catsbydecub262@gmail.com,sosense4,1555939704000,1555939704000,1.928,002388.png,,,,,clv_3,[],https://image-segmentation-v4.labelbox.com?project=cjuse1nxpyad20842kjexqca6&label=cjusebriiytrc0878d6hs01zd
cjusebuo1jzwq0882568xl4gu,cjuse5ormtnhm0bqpaqgfcjjo,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuse1hhrya3h0842z88iuqzs%2Fa0ae2236-552c-3fe1-c548-79224e4399a2-002389.png,"{""ethnicity"":""asian"",""gender"":""female"",""age"":""young""}",catsbydecub262@gmail.com,sosense4,1555939708000,1555939708000,3.512,002389.png,,,,,clv_3,[],https://image-segmentation-v4.labelbox.com?project=cjuse1nxpyad20842kjexqca6&label=cjusebuo1jzwq0882568xl4gu
cjusebxnhyedf08502k6vhmr3,cjuse5ormtnhq0bqplmq8bgww,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuse1hhrya3h0842z88iuqzs%2F02ce91f6-a4c5-d41c-22b0-d33743d85e8c-002390.png,"{""ethnicity"":""asian"",""gender"":""female"",""age"":""young""}",catsbydecub262@gmail.com,sosense4,1555939712000,1555939712000,3.487,002390.png,,,,,clv_3,[],https://image-segmentation-v4.labelbox.com?project=cjuse1nxpyad20842kjexqca6&label=cjusebxnhyedf08502k6vhmr3
cjusec0rkyeij0850eqlqsx1m,cjuse5ormtnhu0bqp1ohza1uc,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuse1hhrya3h0842z88iuqzs%2Fd5f43f9d-f64d-e2c4-a849-79a361da1f3e-002391.png,"{""ethnicity"":""asian"",""gender"":""female"",""age"":""young""}",catsbydecub262@gmail.com,sosense4,1555939716000,1555939716000,3.447,002391.png,,,,,clv_3,[],https://image-segmentation-v4.labelbox.com?project=cjuse1nxpyad20842kjexqca6&label=cjusec0rkyeij0850eqlqsx1m
cjusec2ugyelf0850g101405b,cjuse5ormtnhy0bqpzow2vo1t,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuse1hhrya3h0842z88iuqzs%2F623a0432-de71-0c55-45a3-f4ddd0734ef9-002392.png,Skip,catsbydecub262@gmail.com,sosense4,1555939719000,1555939719000,2.213,002392.png,,,,,clv_3,[],https://image-segmentation-v4.labelbox.com?project=cjuse1nxpyad20842kjexqca6&label=cjusec2ugyelf0850g101405b
cjusec6pgk0ca08825dq0htsz,cjuse5ormtni20bqpgqp9rncy,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuse1hhrya3h0842z88iuqzs%2F8eaf08e6-2287-4697-e43f-18deb46fa8e6-002393.png,Skip,catsbydecub262@gmail.com,sosense4,1555939724000,1555939724000,4.348,002393.png,,,,,clv_3,[],https://image-segmentation-v4.labelbox.com?project=cjuse1nxpyad20842kjexqca6&label=cjusec6pgk0ca08825dq0htsz
cjusec9mmk0gr0882ar2y85sk,cjuse5ormtni60bqpfnzalq8l,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuse1hhrya3h0842z88iuqzs%2F53ae5305-3919-776a-f98b-774c02dcff8d-002394.png,"{""ethnicity"":""asian"",""gender"":""female"",""age"":""young""}",catsbydecub262@gmail.com,sosense4,1555939728000,1555939728000,3.365,002394.png,,,,,clv_3,[],https://image-segmentation-v4.labelbox.com?project=cjuse1nxpyad20842kjexqca6&label=cjusec9mmk0gr0882ar2y85sk
cjusecaydyeuu08500eahzf50,cjuse5ormtnia0bqph0jfhznf,https://storage.googleapis.com/labelbox-193903.appspot.com/cjuse1hhrya3h0842z88iuqzs%2F110e7d5e-fe22-4bf5-8b85-03e6370c1a53-002395.png,Skip,catsbydecub262@gmail.com,sosense4,1555939730000,1555939730000,1.153,002395.png,,,,,clv_3,[],https://image-segmentation-v4.labelbox.com?project=cjuse1nxpyad20842kjexqca6&label=cjusecaydyeuu08500eahzf50
